Date,Address,Price,Beds,Baths,Sqft,Monthly Rent,Monthly Cashflow,Annual Cashflow,CoC Return,Cap Rate,URL
1/5/2026,"617 W John St,ÃÂ Champaign, IL 61820",250000,3,2,1164,2150,139,1668,2.90%,7.05%,https://www.zillow.com/homedetails/617-W-John-St-Champaign-IL-61820/3225590_zpid/
1/5/2026,"1818 Stratford Dr,Â Champaign, IL 61821",SFR,275000,20.0%,55000,4,2,1194,$2.01,2400,1464,573,69,120,240,0,0,-185,-185,-4.04%,-4.04%,10.96%,5.58%,https://www.zillow.com/homedetails/1818-Stratford-Dr-Champaign-IL-61821/3230388_zpid/
1/5/2026,"910 W Springfield Ave, Champaign, IL 61821",SFR,240000,20.0%,48000,4,3,2186,$0.97,2120,1151,500,60,106,212,0,0,-15,-15,-0.38%,-0.38%,14.62%,5.68%,https://www.zillow.com/homedetails/910-W-Springfield-Ave-Champaign-IL-61821/3224081_zpid/
